Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Petersburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
140028,  IS,00095,S    ,I-95 SB, ,123,City of Petersburg,074,Prince George County,1.22,Rives Rd,Wagner Rd,16000,A,85%,1%,1%,0%,13%,0%,F,0.1130,A,1.0000,15000,A,2009,,31000,A,85%,1%,1%,0%,13%,0%,F,0.1073,A,0.5708,29000,A
140027,  IS,00095,S    ,I-95 SB, ,123,City of Petersburg,074,Prince George County,2.29,Wagner Rd,US 460 County Rd; US 301 Crater Rd,23000,B,85%,1%,1%,0%,13%,0%,F,0.0972,A,1.0000,22000,B,2009,,43000,B,85%,1%,1%,0%,13%,0%,F,0.0962,A,0.5644,40000,B
140026,  IS,00095,S    ,I-95 SB, ,123,City of Petersburg,074,Prince George County,0.53,US 460 County Rd; US 301 Crater Rd,I-85,23000,N,85%,1%,1%,0%,13%,0%,N,0.0972,N,1.0000,22000,N,2009,,43000,N,85%,1%,1%,0%,13%,0%,N,,,,40000,N
140312,  IS,00095,S    ,I-95 SB, ,123,City of Petersburg,026,Dinwiddie County,0.66,I-85,"US 301, Bus US 460 Washington St",43000,B,90%,1%,1%,1%,7%,0%,F,0.0949,A,1.0000,41000,B,2009,,87000,B,91%,1%,1%,1%,7%,0%,F,0.0910,A,0.5182,84000,B
140024,  IS,00095,S    ,I-95 SB, ,123,City of Petersburg,026,Dinwiddie County,0.48,"US 301, Bus US 460 Washington St",SCL Colonial Heights,0,?,,,,,,,X,,,,,,,,0,?,,,,,,,X,,,,,
789371,  IS,00095,S048B,I-95 SB Exit 048B,Ramp,123,City of Petersburg,074,Prince George County,0.31,I-95 South,123-9010 Wagner Rd,4900,B,,,,,,,X,0.1002,A,1.0000,5400,B,2009,,,,,,,,,,,,,,,
781249,  IS,00095,S050X,,Ramp,123,City of Petersburg,074,Prince George County,0.06,I-95 South,Ramp to Graham Rd,8900,B,,,,,,,X,0.1008,A,1.0000,9700,B,2009,,,,,,,,,,,,,,,
789771,  IS,00095,S050X,,Ramp from I-85 N to I-95 S,123,City of Petersburg,074,Prince George County,0.27,Ramp from US 301,US 460 Ramp,11000,A,,,,,,,X,0.1183,A,1.0000,12000,A,2009,,,,,,,,,,,,,,,
658021,  SR,00106,     ,VA 106,Courthouse Rd,123,City of Petersburg,123,City of Petersburg,0.10,US 460 County Rd,ECL Petersburg,7500,G,95%,1%,1%,1%,2%,0%,F,0.0889,F,0.0000,8100,G,2009,,,,,,,,,,,,,,,
658076,  SR,00109,     ,VA 109,Hickory Hill Rd,123,City of Petersburg,123,City of Petersburg,0.88,US 460 County Rd,ECL Petersburg,6600,G,98%,0%,0%,1%,0%,0%,C,0.1244,F,0.0000,7100,G,2009,,,,,,,,,,,,,,,
140210,  SR,00109,     ,VA 109,Hickory Hill Rd,123,City of Petersburg,123,City of Petersburg,0.03,ECL Petersburg,"Dead End; Fort Lee Military Reservation, Mahone Av",6600,N,98%,0%,0%,1%,0%,0%,N,0.1244,N,0.0000,7100,N,2009,,,,,,,,,,,,,,,
