Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
781765, 129,08002,     ,129-8002,Front Ave,129,City of Salem,129,City of Salem,0.65,Mulberry St,King Street,2500,G,98%,0%,1%,0%,0%,0%,C,0.0929,F,0.5174,2600,G,2011,,,,,,,,,,,,,,,
686133, 129,08004,     ,129-8004,Colorado St,129,City of Salem,129,City of Salem,0.29,Roanoke Blvd,"Alt US 11, Alt US 460",2000,G,99%,0%,1%,0%,0%,0%,C,0.0968,F,0.6606,2100,G,2011,,,,,,,,,,,,,,,
686132, 129,08004,     ,129-8004,Colorado St,129,City of Salem,129,City of Salem,0.38,"Alt US 11, Alt US 460",US 11 Colorado St,13000,G,99%,0%,1%,0%,0%,0%,F,,,,14000,G,2011,,,,,,,,,,,,,,,
686143, 129,08006,     ,129-8006,Roanoke Blvd,129,City of Salem,129,City of Salem,0.47,South Market St,Alt US 460,3600,G,99%,0%,1%,0%,0%,0%,F,0.1008,F,0.6114,3800,G,2011,,,,,,,,,,,,,,,
686141, 129,08008,     ,129-8008,Lynchburg Tpke,129,City of Salem,129,City of Salem,0.17,US 460 E Main St,129-2 Idaho St,4400,G,99%,0%,1%,0%,0%,0%,F,0.0910,F,0.6335,4700,G,2011,,,,,,,,,,,,,,,
686140, 129,08008,     ,129-8008,Lynchburg Tpke,129,City of Salem,129,City of Salem,0.67,129-2 Idaho St,Alt US 460,2000,G,99%,0%,1%,0%,0%,0%,F,0.0958,F,0.5651,2100,G,2011,,,,,,,,,,,,,,,
686139, 129,08008,     ,129-8008,Lynchburg Tpke,129,City of Salem,129,City of Salem,0.25,Alt US 460,SR 419 Electric Rd,4900,G,99%,0%,1%,0%,0%,0%,F,0.0986,F,0.7414,5200,G,2011,,,,,,,,,,,,,,,
686138, 129,08008,     ,129-8008,Lynchburg Tpke,129,City of Salem,129,City of Salem,0.44,SR 419 Electric Rd,ECL Salem,5900,G,97%,0%,1%,1%,1%,0%,C,0.0935,F,0.5431,6300,G,2011,,,,,,,,,,,,,,,
686144, 129,08010,     ,129-8010,Roanoke Blvd,129,City of Salem,129,City of Salem,0.41,Texas St,Pearl St,8500,G,97%,0%,1%,1%,1%,0%,F,0.0990,F,0.5252,9200,G,2011,,,,,,,,,,,,,,,
686145, 129,08010,     ,129-8010,Roanoke Blvd,129,City of Salem,129,City of Salem,0.30,Pearl St,Electric Rd,9300,G,99%,0%,1%,0%,0%,0%,C,0.0998,F,0.5262,10000,G,2011,,,,,,,,,,,,,,,
